,FUNC_NAME,FUNC_LINE_NO
0,"int main(int argc, char * * argv)",13
1,"* SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO, *",22
2,"* WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR      *",25
3,status_code_t bead_bus_clear(const bead_bus_dev_t* bb),45
4,status_code_t bead_bus_set(const bead_bus_dev_t* bb),60
5,status_code_t bead_bus_update(const bead_bus_dev_t* bb),71
6,status_code_t bead_bus_sample(const bead_bus_dev_t* bb),83
7,"status_code_t bead_bus_shift(const bead_bus_dev_t*  bb,",98
8,"status_code_t bead_bus_async_shift(const bead_bus_dev_t*    bb,",113
9,status_code_t bead_bus_is_busy(const bead_bus_dev_t* bb),137
10,status_code_t bead_bus_out_of_clear(const bead_bus_dev_t* bb),147
11,"* SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO, *",22
12,"* WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR      *",25
13,"status_code_t cnoc_msi_cmd_req_handler_dispatch(cnoc_msi_cmd_state_t* cnoc_msi_cmd_state, ring_buf_t* cnt_cmd_req_queue)",38
14,"* SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO, *",22
15,"* WHETHER IN CONTRACT, STRICT LIABILITY, OR TORT (INCLUDING NEGLIGENCE OR      *",25
16,status_code_t cnoc_msi_init(),59
17,"status_code_t cnoc_msi_cmd_req_handler_init( cnt_cmd_req_handler_entry_t  cnt_cmd_req_table[],",93
18,"status_code_t cnoc_msi_param_blk_dlist_init(cnoc_msi_param_blk_dlist_t          param_blk_dlist[],",102
19,bool cnoc_msi_param_blk_init_is_complete(void),120
20,"schan_state_t cnoc_msi_schan_status_get(uint32_t ch, schan_state_t* status)",133
21,status_code_t cnoc_msi_uninit(void),176
22,void cnoc_rx_isr(void* context),184
23,void supervisory_control_loop(void),350
24,"status_code_t cnoc_msi_bead_bus_register(const bead_bus_dev_t*  bb,",395
25,status_code_t cnoc_msi_bead_bus_unregister(const bead_bus_dev_t* bb),424
26,"status_code_t cnoc_msi_iocsr_register(const iocsr_dev_t*        iocsr,",486
27,status_code_t cnoc_msi_iocsr_unregister(const iocsr_dev_t* iocsr),515
28,"* SPECIAL, EXEMPLARY, OR CONSEQUENTIAL DAMAGES (INCLUDING, BUT NOT LIMITED TO, *",22
