,TRACE_NAME,LINE_NO
0,TRACE_FPGA_READY,810
1,TRACE_CONFIG_EVENT_ERROR,205
2,TRACE_CONFIG_STATE_MACHINE_SSBL_SYNC_BLOCK,322
3,TRACE_GET_DC1_BLOCK,4088
4,TRACE_CONFIG_EVENT_ERROR,205
5,TRACE_CONFIG_STATE_MACHINE_SECTION_HEADER,380
6,TRACE_CONFIG_STATE_MACHINE_SECTION_HANDLER,101
7,TRACE_MBOX_Q_ERROR,40960
8,TRACE_BITSTREAM_CNOC_TEMPLATE_MUTABLE_NOP,138
9,TRACE_INT_DONE_EAST,4096
10,TRACE_MEMORY_ADD_REF_ERROR,378
11,TRACE_WIPE_PASS_1_ERROR,366
12,TRACE_MEMORY_ADD_REF_ERROR,378
13,TRACE_WIPE_PASS_1_ERROR,366
14,TRACE_ACTION_CNOC_DELAY,1024
15,TRACE_INT_DONE_EAST,4096
16,TRACE_MEMORY_ADD_REF_ERROR,378
17,TRACE_WIPE_PASS_1_ERROR,366
18,TRACE_MEMORY_ADD_REF_ERROR,378
19,TRACE_WIPE_PASS_1_ERROR,366
20,TRACE_MEMORY_ADD_REF_ERROR,378
21,TRACE_WIPE_PASS_1_ERROR,366
22,TRACE_MEMORY_ADD_REF_ERROR,378
23,TRACE_WIPE_PASS_1_ERROR,366
24,TRACE_MEMORY_ADD_REF_ERROR,378
25,TRACE_WIPE_PASS_1_ERROR,366
26,TRACE_ACTION_PADDING,396
27,TRACE_PIN_TABLE_SKIPPED,7
28,TRACE_MBOX_HW_MGR_FPGA_ERROR,365
29,TRACE_CONFIG_MAIN_HEADER_LOADED,366
30,TRACE_PIN_TABLE_SKIPPED,8
31,TRACE_CONFIG_EVENT_ERROR,121
32,TRACE_PIN_TABLE_SKIPPED,7
33,TRACE_PIN_TABLE_SKIPPED,7
34,TRACE_MBOX_HW_MGR_FPGA_ERROR,365
35,TRACE_CONFIG_MAIN_HEADER_LOADED,366
36,TRACE_CONFIG_EVENT_PRECONFIG,932
37,TRACE_ERROR,348
38,TRACE_ERROR,4026793984
39,TRACE_ERROR,348
40,TRACE_ERROR,4026793984
41,TRACE_ERROR,0
42,TRACE_ERROR,4026793984
43,TRACE_ERROR,0
44,TRACE_CMF_DIMK_CONTEXT_FAILED,192
45,TRACE_PIN_TABLE_SKIPPED,8
46,TRACE_CONFIG_EVENT_ERROR,1076
