,TRACE_NAME,LINE_NO
0,TRACE_ACTION_FIXED,137
1,TRACE_ACTION_IF,238
2,TRACE_ACTION_CONFIG_PIN,91
3,TRACE_ACTION_CONFIG_PIN_CONF_DONE,116
4,TRACE_ACTION_OPERATION_SDM_TO_FPGA_ENABLE,116
5,TRACE_ACTION_CONFIG_PIN,300
6,TRACE_ACTION_CONFIG_PIN_INIT_DONE,121
7,TRACE_CMF_KEYS_FIFO_PACKETS_FAILURE,157
8,TRACE_BITSTREAM_INTERRUPT,1478
9,TRACE_ACTION_FIXED,137
10,TRACE_ACTION_OPERATION_FPGA_PREPARE_BRIDGE_SHUTDOWN,181
11,TRACE_BOOT,216
12,TRACE_CONFIG_EVENT_BOOT,878
13,TRACE_CONFIG_STATE_CONFIGURE,223
14,TRACE_ENTER_USER_MODE,596
15,TRACE_CONFIG_STATE_COMPLETE,287
16,TRACE_ENTER_USER_MODE,596
17,TRACE_CONFIG_EVENT_BOOT,881
18,TRACE_CONFIG_CNOC_INITIALIZED,155
19,TRACE_CONFIG_EVENT_JTAG_CONFIG,337
20,TRACE_CONFIG_EVENT_PREWIPE,362
21,TRACE_CONFIG_STATE_CONFIGURE,586
22,TRACE_CONFIG_CNOC_INITIALIZED,155
23,TRACE_CONFIG_STATE_IDLE,1186
24,TRACE_BIG_HAMMER,218
25,TRACE_CONFIG_WIPE_DONE,901
26,TRACE_MBOX_CMD_JTAG_CONFIG,65
27,TRACE_CONFIG_STATE_CONFIGURE,137
28,TRACE_CONFIG_STATE_WIPE,970
29,TRACE_BITSTREAM_INTERRUPT,250
30,TRACE_BITSTREAM_INTERRUPT,276
31,TRACE_ACTION_COMMENT,50
32,TRACE_CONFIG_MAIN_HEADER_LOADED,20297
33,TRACE_CONFIG_MAIN_HEADER_LOADED,1163022147
34,TRACE_GET_CPU_BLOCK,4096
35,TRACE_FPGA_READY,810
36,TRACE_CONFIG_EVENT_ERROR,205
37,TRACE_MBOX_OPCODE_RCVD,4
38,TRACE_MBOX_OPCODE_RCVD,5
