,TRACE_NAME,LINE_NO
0,TRACE_BOOT,191
1,TRACE_CLOCK_EXACT_USER_CLK_ENABLE,1038
2,TRACE_CONFIG_EVENT_ANTI_TAMPER,1075
3,TRACE_GET_DC1_BLOCK,1
4,TRACE_PIN_TABLE_SKIPPED,11
5,TRACE_BOOT,120
6,TRACE_GET_DC0_BLOCK,1937
7,TRACE_FPGA_READY,810
8,TRACE_CONFIG_EVENT_ERROR,205
9,TRACE_CONFIG_STATE_MACHINE_SSBL_SYNC_BLOCK,322
10,TRACE_GET_DC1_BLOCK,4088
11,TRACE_CONFIG_EVENT_ERROR,205
12,TRACE_CONFIG_STATE_MACHINE_SECTION_HEADER,380
13,TRACE_MBOX_Q_CMD_HDLR_BAD_PTR,92
14,TRACE_GET_DC1_BLOCK,2
15,TRACE_MBOX_Q_MSG_FREE_BAD_PTR,10
16,TRACE_MBOX_Q_MSG_FREE_FREE_PTR,1300
17,TRACE_DMA_WR_ENQUEUE_FAIL,0
18,TRACE_INT_DONE_WEST,4096
19,TRACE_MBOX_Q_MSG_FREE_FREE_PTR,168
20,TRACE_INT_DONE_WEST,4096
21,TRACE_CONFIG_STATE_MACHINE_PARSE_SIG_DESC,426
22,TRACE_CNT_DEASSERT_TX_INT_MCAST,0
23,TRACE_AUTH_INVALID_ROOT_KEY,382
24,TRACE_CVP_INITIAL,1129464390
25,TRACE_CONFIG_STATE_MACHINE_SECTION_HANDLER,101
26,TRACE_MBOX_Q_ERROR,40960
27,TRACE_BITSTREAM_CNOC_TEMPLATE_MUTABLE_NOP,138
28,TRACE_CVP_ABORT,153
29,TRACE_CMF_KEYS_FIFO_PACKETS_FAILURE,133
30,TRACE_DDR_HASH_MATCH,0
31,TRACE_DDR_HASH_MATCH,0
32,TRACE_DDR_HASH_MATCH,115
33,TRACE_DIMK_GEN_MEK_ERR_CLEAR_UKV_SLOT,1305
34,TRACE_SLOT_PROVIDED_CONTAINS_DISABLED_PLUS,336
35,TRACE_SECTION_TYPE_FPGA_DEBUG,122
36,TRACE_CONFIG_AES_AES_BUSY,298
37,TRACE_CONFIG_AES_AES_FAILURE,0
38,TRACE_CONFIG_AES_AES_RESOURCE_UNAVAILABLE,317
39,TRACE_GET_DC1_BLOCK,10
40,TRACE_MBOX_Q_MSG_FREE_BAD_PTR,663594
41,TRACE_MBOX_Q_MSG_FREE_FREE_PTR,1300
